Date,Close
01-08-2017,282.25
01-09-2017,258.299988
01-10-2017,265.700012
01-11-2017,256.049988
01-12-2017,263.25
01-01-2018,271.399994
01-02-2018,265.049988
01-03-2018,255.5
01-04-2018,281.450012
01-05-2018,271.649994
01-06-2018,266.200012
01-07-2018,297.700012
01-08-2018,319.850006
01-09-2018,297.75
01-10-2018,280.100006
01-11-2018,285.799988
01-12-2018,281.649994
01-01-2019,278.649994
01-02-2019,276.049988
01-03-2019,297.25
01-04-2019,301.350006
01-05-2019,278.549988
01-06-2019,273.850006
01-07-2019,270.200012
01-08-2019,245.649994
01-09-2019,259.850006
01-10-2019,257.649994
01-11-2019,246.399994
01-12-2019,237.699997
01-01-2020,235.149994
01-02-2020,197.550003
01-03-2020,171.699997
01-04-2020,182.050003
01-05-2020,197.350006
01-06-2020,194.649994
01-07-2020,194.149994
01-08-2020,191.100006
01-09-2020,171.699997
01-10-2020,165.25
01-11-2020,193.649994
01-12-2020,209
01-01-2021,203.25
01-02-2021,203.850006
01-03-2021,218.5
01-04-2021,202.600006
01-05-2021,216.600006
01-06-2021,202.699997
01-07-2021,204.949997
01-08-2021,211.300003
01-09-2021,236.149994
01-10-2021,223.199997
01-11-2021,221.149994
01-12-2021,218.050003
01-01-2022,220.199997
01-02-2022,215.850006
01-03-2022,250.649994
01-04-2022,259.549988
01-05-2022,270.649994
01-06-2022,273.5
01-07-2022,295
12-07-2022,292.700012
